score,text
0, SECOND HALF City get us under way again cityvlfc mcfc n n ud d udd ud d udd t co VntTklwrT 
0, karakanayasoka wa vokoli maragoli ni game poa wazito natakia ti u 
0, Um
0, We bottled
0, Semoga musim depan Klopp eveluasi lagi dan LFC punya striker bertipe n Perusak Prahara Rumah Tangga Lawan t co sBTimr BCD 
0, living life on the edge defensively
1, Pep Guardiola u cThis is one of the happiest days of my life as a manager How we played against Liverpool means a l u 
0, Liverpool FC Manchester City Liverpool Follow live coverage t co HvIgdttGUp lfc 
0, Come on you Red men
-1, Was vital not to lose that
0, It has everything but goals so far ud d udd ud d udd t co Qx Otj 
-2, What a bloody tackle from Milner Fernandinho is comical MCFC MCILIV LFC 
1, Great game So open
0, What a goal that would ve been MCILIV 
0, LE RATEEEEEEEEEEE DE L ANNEEEEEEEEEEEEEEE n MCILIV 
-1, Not a penalty because reasons LFC 
-1, James Milner scored Liverpool s th penalty in all competed recorded at LFC n n t co VphrZ cW h 
1, It s been a fine first half
1, Great thing about watching a game at Etihad on tv is that you don t understand a word that the adverts say Chinese 
0, It s BoringMilner
0, Vinner begge hengekampene
1, Det er meg helt uforst u e elig hvorfor Manchester City supportere piper p u e Milner Han gjorde en solid jobb for de i u e r Mye p u e benk MCILIV 
1, MCILIV BONUS POINTS AS IT STANDS n n u Toure n u Clichy n u Coutinho
-1, WHAT THE HECK is she putting inside n MCILIV n t co z Q dejGB 
2, Best possible way for Milner to silence the boo boys LFC lead at the Etihad
0, COME ON CITY ud d udc t co rRt FZ j 
0, HT Manchester City Liverpool Not the best Not the worst Big second half coming up LFC MCILIV cityvlfc t c u 
1, Bring in Bravo We need goals MCILIV 
0, MCILIV MCFC cityvlfc LFC t co e dDd r B 
2, Got to be Emre Can s best performance for LFC Thought he was immense today 
0, nDeep in my heart
0, Lollolna 
0, Roses are red
0, u StarFootballLeague n u MCILIV n u a MUFC n u b Stephen Odey n u c DrPaul Yahweh Video n n WAT trndnl t co zX A KS 
-1, Mane with some insane pace
-3, Fucking hell I m sitting in the gym and MCILIV is on and the people here just went wild when Lallana bottled it to make it ud d ude 
1, A good battle ud d udd ud d udd t co Y qkgJ GG 
1, City will not finish in the top period You can take that to the bank
-1, WHAT THE HECK is she putting inside n MCILIV n t co e QnkfuWQY 
0, Milner to Liverpool free n nSterling to City u a m n nLFC might lose their young potential player
0, Cabellero doing a Dwight Gayle here and turning up against LFC 
0, ud d udcf Sergio Aguero celebrates Man City s equaliser against Liverpool n nIt s with mins remaining MCILIV t c u 
0, FT ud d udd ud d udd n nAn absorbing game at the Etihad as the points are shared cityvlfc mcfc t co S XFBiWETa 
1, She s Beautiful n MCILIV n t co XlxHXtjHGR 
0, u e u e u e u e u e u e a u e u e u e u e c u e d u e u e u e u e u e u e u e d u e u e u e a u e c u e u e a u e u e u e u e u e a u e d u e u e c u e u e u e u e u e u e d u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e a u e u e u e u e c u e u e u e u e b u e u e d u e u e u e u e u e u e u e u e u e u e u e u e u e a u e u e u e u e c u e a u e d u e a u e u e u e d u e u e u e u e ud d ude ud d ude ud d ude LFC 
0, Sergio Aguero cette apr u e s midi MCILIV t co mjYnxIIpDJ 
0, ud d udcf James Milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nIt s Man City Liverpool mins MCILIV u 
0, YESSSS LOFTEY t co IdlxvBDUTq 
0, Toure should be off
0, D u e couvrez le Jardin M u e morial de l Etihad Stadium u e ManCity amp la grande tradition des supporters anglais ud d ude f u bd ufe f ud c uddec ud c udde u 
-1, Missarnas match Fortsatt obesegrat mot topp sex i alla fall LFC 
1, Betvictor New Custom nBet u a Get n football golf EPL SFC n LFC mufc MCFC AFC nEntry k Golden Goal Claim u t co YS A wQrwI 
0, u a u u u f u u a u u u u u u f u a u SaudiTrendat n cityvlfc n u u a u u a u u u u u u u u u a u u u u u u u u a u f n u u u u u u a u a u u u u u u f u u u u a u u u a n MCILIV u u a u u u a u u u u a u t co TuXooKwFst u 
1, Can playing well so far Looking to add a few extra K LFC 
-1, WHAT THE HECK is she putting inside n MCILIV n t co C ARPoXyn 
-1, WHAT THE HECK is she putting inside n MCILIV n t co IAGHLwIRE 
0, Get in there Milner LFC YNWA 
0, GOOOOOOAL MILNERRRR t co RfdB QSUwY 
1, LFC Relief for the Reds n nSterling can t finish from a cross and neither can Fernandinho on the follow up n n 
-1, He s playing bad
0, each
0, FECKIN C MANNNNNNNNNN LFC 
1, Can is freaking amazing He did a lot of work both in defence and offense LFC 
0, u Yellow Card Man City nMan City Liverpool n MCILIV t co yNhb kG qG 
1, Proper game of football that Take a point LFC 
0, You should be a comedian t co BCbfcVKIMa 
1, Good to see you n n ud d udd ud d udd t co oirVEYlIJ 
0, u n n t co iS RaWtNF 
0, Matches between Premier League s big slightly irrelevant league table n n LFC n CFC n THFC n MCFC n MUFC u 
0, t co s qsM xPol 
-1, RT MCFC vs LFC was a match of missed opportunities
0, Man Utd have an edge against us ud d ude c t co Og B r Ou 
1, Yes Great shot by Milner Love how Klopp doesn t watch penalty shots lfc 
0, Non sbaglia il rigore il capitano del LFC come sempre Rigore ottenuto da Firmino
-1, WHAT THE HECK is she putting inside n MCILIV n t co pr Um naB 
0, nTupo Ndaaaaaani sana mie na ubavu wangu Monicah Outer matongo livepool u 
0, Firmino dribble and passing has been superb but the finishing was a very poor ud d ude ud d ude MCILIV 
0, Two penalties not given to Liverpool MCILIV 
-3, fuck off you useless cunts t co fgsJzJxwCw 
1, She s Beautiful n MCILIV n t co L EbkEyXl 
1, She s Beautiful n MCILIV n t co EKYxYj ZGj 
0, ptain dommage Sadio Mane il aurait d u fb mieux faire MCILIV 
0, u e u e u e d u e u e a u e a u e u e u e u e a u e c u e u e u e u e u e u e u e u e u e b u e u e u e u e u e u e u e u e u e LFC 
0, ud d udcaa t co cG fXmzSx 
-1, WHAT THE HECK is she putting inside n MCILIV n t co IAGHLwIRE 
1, FIRMINO GOING OFF TO SLIDE IN FRONT OF THE LFC FANS THEN LOOKS BACK HAHAHAHA n n t co x JRSUnZpd 
1, A solid shift from both sides ud d udd ud d udd t co exgNGruQ y 
1, Pep Guardiola u cThis is one of the happiest days of my life as a manager How we played against Liverpool means a l u 
-1, Who turned the penalty feature off then Michael Oliver having a worldy as usual ud e udd LFC 
1, A solid shift from both sides ud d udd ud d udd t co exgNGruQ y 
0, Klopp
1, MCFC fans booing James Milner MCILIV t co vtgFGhsmf 
1, James Milner with a superb penalty on his return to MCFC One of the best players on the pitch today MCILIV LFC 
0, GOAL Manchester City Liverpool James Milner scores a penalty after being booed all game from the City fans M u 
-1, How is that not a penalty mciliv 
1, Watch Manchester City vs Liverpool Premier League Live Stream t co ypWA ag pD n n mcfc cityvlfc LFC PL 
-1, MCILIV Grosse intensit u e dans ce CHOC de PL Matip vient mettre sa t u eate sur coup franc u e a passe u e c u f t u e u 
0, Never a penalty Once you get megged like that
1, Emre and Gini were the best for us today Milner came next n LFC 
1, win you frauds 
0, C est quoi ce match MCILIV ud d ude d 
0, Back to it n nCome on
0, E que falhan u e o t co ddTFqU R 
1, Mancity should forget about increasing their stadium capacity They can t even sell out a big match like this 
-1, I am genuinely baffled LFC 
-1, But for poor finishing we could ve won or lost or won or lost or won or lost or won or lost that LFC MCILIV 
-3, The finishing in this game has been appalling Game should ve been dead amp buried We ll obviously be made to pay for all those misses LFC 
-1, quel insolence t co eO uq nHG 
0, MCILIV Ce match prend compl u e tement feu ud d udd ud d udd ud d udd Gros temps fort de Liverpool
-1, WHAT THE HECK is she putting inside n MCILIV n t co fzN bQz mj 
0, FT Man City Liverpool James Milner scoring Could have won that Could have lost it too But definitely could u 
1, Liverpool should have been able to win Many opportunities that should be a goal 
-2, My father s allegiance lies with the team with more players whose names he can shout Regrettably
-4, Mad game that Such a shame with the Lallana miss So sooo bad But we move on
-1, WHAT THE HECK is she putting inside n MCILIV n t co MKWjsJsfH 
0, AGUEROOOO MCILIV 
1, MCILIV Michael Oliver is having a very good game Tryna keep the score as much as he can 
1, Milner to the Man City fans MCILIV t co faFsyM tJ 
1, A solid shift from both sides ud d udd ud d udd t co exgNGruQ y 
1, ManCity v Liverpool is not a big enough game for The Etihad to be sold out
0, LMAOOO You got jokes ud d ude It has nothing t co G W XRiqf 
2, Fans boo While Fans boo 
-1, Wow Not sure which teams miss was worse ud d ude e MCILIV 
-2, Nasty Very nasty LFC MCILIV cityvlfc Toure t co iODDsQteEj 
0, Pen u e lti para o Liverpool MCILIV 
2, At his best Coutinho is one of the league u s top players At the moment he u s as close to an empty shirt as he u s been si u 
-1, James Milner has NEVER lost a PL game in which he has scored MCILIV t co xhPX YV Qb u b ufe f t co M IiXcnRiY 
-1, Got from my predictor with Barca still play whitesangoma under threat u 
-1, WHAT THE HECK is she putting inside n MCILIV n t co xaBH Is pL 
1, Another day in the office ahead workathome instead t co Pcx qgS yk EURO winning jobhuntchat LFC cafc 
0, u DateMyFamily n u OurPerfectWedding n u a MCILIV n u b Lamborghini n u c Liverpool n n SAST trndnl t co ZiIghhS p 
0, FULL TIME The PL s third and fourth placed sides share the points after an absolute thriller at the Etihad MCILIV htt u 
-1, A little dissapointed with the scoreline after where we were at around mons
0, e ficam no empate num JOGA u c O Milner e fizeram os gols da partida t co ZB HLT u 
0, Where the F is our defense Clyne
0, They ve called it a full house at the Etihad today MCILIV t co UuNtgAmthu 
0, What Was That lfc 
0, FT Man City LFC Stunning game Packed full of chances and drama Milner penalty cancelled out by Aguero 
0, GOLO Milner GP nMan City Liverpool MCILIV 
0, ud d udcf James Milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nIt s Man City Liverpool mins MCILIV u 
0, u u u u u a u u e u u 
0, Phew Some game Good result tho City bizarre team at times hard to live with the them amp then look like they ll fold at any minute LFC 
-1, WHAT THE HECK is she putting inside n MCILIV n t co YNScPKfLcZ 
0, ud d udcf Sergio Aguero celebrates Man City s equaliser against Liverpool n nIt s with mins remaining MCILIV t c u 
-1, WHAT THE HECK is she putting inside n MCILIV n t co KEjgEGSk k 
0, ud d udd u ufe f n u b ufe f u bd ufe f ud d udd n MCILIV t co RsiD Zwkze 
0, KarakanaYaSoka Dakika ya hapa ukiwa nasi na nani ashi u 
-1, Did you watch the fucking clip pal t co MlZEJtX zl 
0, cubaan sadio mane berdepan keeper dapat dihalang n nMCI LFC MCILFC YNWA 
0, Paddypower New football MCFC LFC mufc Spurs n ManCity v Liverpool nSunday Claim gt u t co BposprhKLx 
0, Eish giving me asthma 
-1, Betfair No Risk Offer nBet u a Get u a n MUFC MCFC LFC AVFC lufc n Spurs bhafc PremierLeague n AVFC LFC Claim u 
2, Klopp I m not happy in this moment But give me a few hours and I will be happy LFC t co kiGk xASka 
0, The Reds look for a swift response but Firmino s drive crashes into the side netting n n t co pMuZHwEFCF 
0, Gollllllll u n Liverpool LFC milner ynwa chupamanchestershit 
0, Emre Can pulls back Kevin De Bruyne
1, She s Beautiful n MCILIV n t co DEcSBZniFf 
-1, WHAT THE HECK is she putting inside n MCILIV n t co PLvfN EfWI 
1, LFC Manchester City Liverpool player ratings Can gives best performance in red but Coutinho anonymous agai u t co ijzmbWrJy 
0, On est chanceux Lallana rate l immanquable Quelle chance MCILIV 
0, MCILIV RESULT nMilner scored from the spot
-1, I hate Clichy 
0, I added a video to a playlist t co Jz yBQpVvV LFC CAREER MODE ep transfer deadline day 
0, LFC creating more chances 
0, ud d udcf James Milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nIt s Man City Liverpool mins MCILIV u 
-1, Watched an intense first half at the Studio Let s keep the three points at home Blues ud d udcaa ud c udffc mcfc u 
0, It has everything but goals so far ud d udd ud d udd t co Qx Otj 
1, LFC ha ha ha enough said 
1, Firminio celebrated to early ud d ude ud d ude LFC n n t co q gLyZ QR 
0, ud c udfa What a game that was LFC t co Z So nRqgM 
0, GOAAAAAAL n nCITY LIVERPOOOL nSCORER AGUERO nASSIST KDB n n MCILIV n IAmWonder 
1, What a shot from Silvia wow MCILIV 
0, Practice corners 
0, Milner MCILIV 
0, MCILIV L u e norme r u e action WTF de Guardiola apr u e s une faute offrant un superbe check avec Klopp ud d ude ud d udc a ud d ude d PL cc u 
3, LFC could be top of EPL if they had a striker Good head to head vs top teams
0, What is with Guardiolas jacket MCILIV 
1, FIRMINO GOING OFF TO SLIDE IN FRONT OF THE LFC FANS THEN LOOKS BACK HAHAHAHA n n t co x JRSUnZpd 
1, FIRMINO GOING OFF TO SLIDE IN FRONT OF THE LFC FANS THEN LOOKS BACK HAHAHAHA n n t co x JRSUnZpd 
1, Manchester City vs Liverpool n nWatch LFC MCFC Free Live Stream on t co Fsycl DxpC 
1, How come there is still empty seats at this eitihad This is a top fixture n nSmall time club mancity n n MUFC MCFC 
0, Full time at the Etihad Manchester City Liverpool MCFC LFC n nWHAT A GAME u bd ufe f ud d udd ud d udd t co LUHAgATPq 
1, Good game we build from it Ynwa u af already walk dis one alone o
0, FT n cityvlfc premierleague mcfc t co OUePvX Vko 
1, Firminio celebrated to early ud d ude ud d ude LFC n n t co q gLyZ QR 
1, Wow ud d ude ud d ude ud d ude t co OBVHVSsl q 
0, Start earning online gt gt upto month t co GZqEPWTNg SundayFunday LAMarathon MCILIV GoBlue ONline 
0, Segue o jogo t co zl yNN c Z 
0, PL ud c uddec ud c udde MAN CITY LIVERPOOL n nTERMIN u c n n MCILIV t co xfIT npCRY 
1, No mind games No insults Just pure respect
0, How come Caballero becomes Buffon every time he play against us lfc 
-1, You don t often see Aguero miss far post
0, MCILIV quel rat u e de Lallana qui manque l immanquable 
0, FULL TIME The PL s third and fourth placed sides share the points after an absolute thriller at the Etihad MCILIV t co RntAdqGAdw 
1, FIRMINO GOING OFF TO SLIDE IN FRONT OF THE LFC FANS THEN LOOKS BACK HAHAHAHA n n t co x JRSUnZpd 
0, GOAL Milner scores to make it to Liverpool MCILIV 
1, Happy birthday Kolo ud c udf t co AKg FNvYu 
-2, Damn it defend the crosses Ugh LFC 
-1, City so poor MCILIV 
0, How exactly is that not a red card MCILIV 
-1, What Liverpool s attack really need n t co uSWxQOlK V 
2, City fans are so classless booing one of their most successful players of all time James Milner ud d udc MatchdayMac t co yXI dfSbjG 
1, Great game this
1, A thoroughly entertaining contest ends with a share of the points ud d udd ud d udd t co h NnHKMg q 
0, It was only a matter of time need that second goal LFC Come on
1, Kevin De Bruyne Has registered assists in the Premier League this season
0, It has everything but goals so far ud d udd ud d udd t co Qx Otj 
1, never easy watching is it 
1, Can t believe the fans are booing Milner
0, ud d udcf It s still Man City Liverpool and as we head towards added time u n n u will someone have the final say MCILIV u 
0, HT ud d udd ud d udd n nEntertainment
-1, WHAT THE HECK is she putting inside n MCILIV n t co e QnkfuWQY 
0, u df u eb u ca u fc uff uff uff ud c udf ud c udf ud c udf t co LwZeDDoExb 
1, a draw is decent 
0, Result n shots for City for LFC in first half n for Aguer n for defenders 
-1, Five Manchester City players around Oliver after he finally gives penalty FA will presumably charge club for not contro u 
-1, This fucking ref Booked LFC players when City players roll around Emre Can gets up after getting studs in his chest Wa u 
0, ud d ude ud d ude ud d ude ud d ude Ultimate L t co UxfaVgm St 
0, GOAL Man City Liverpool mins James Milner slots home from the spot after Clichy had fouled Firmino MCILIV 
0, u ab u d u b u a u ed u u f u f u u u b u a u u MANCITY MCILIV JSPOFOOTBALL 
0, Man City e Liverpool empatam a com golos de Milner e Aguero MCILIV t co yHxQiWINw 
0, there will be goals nd half red ones hopefully 
-1, The first claim Don t think this was a penalty Next one definitely was t co B UpeDcM 
0, can you score please 
2, Got to be Emre Can s best performance for LFC Thought he was immense today 
0, MCILIV ud c udf f 
0, We re back under way at the Etihad MCILIV 
0, PL ud c uddec ud c udde MAN CITY LIVERPOOL n nGOOOOOOOAAAAAL DE MILNER n n MCILIV t co IwM TiKfVX 
1, Top n MCILIV n TOTSOU n Harry Winks n Milner n Southampton 
1, Cool abah dia t co G CKJT mFU 
1, Should be a fun minutes at the Etihad manCity lfc 
-1, WHAT THE HECK is she putting inside n MCILIV n t co g FBu eGO 
0, u u f c u u u b u u e a u c u c lfc 
0, Tamat perlawanan dgn keputusan hasil jaringan Milner dan Aguero setelah aksi minit terakhir yg mendebarkan u 
1, She s Beautiful n MCILIV n t co LpmrZVTTn 
-1, WHAT THE HECK is she putting inside n MCILIV n t co ef paptj 
1, She s Beautiful n MCILIV n t co hmPRzTvwgd 
0, FT ud d udd ud d udd n nAn absorbing game at the Etihad as the points are shared cityvlfc mcfc t co S XFBiWETa 
2, Au choix ce dimanche midi u e la TV aux USA nJames Bond Quantum Of Solace sur ou Premier League MCILIV u t co psp QqjNQ 
1, City and LFC forwards bottled chance after chance like our forwards have done all season 
0, Since 
0, Dear god how LFC 
0, Lots of action but not much to enjoy in that half Distinct lack of overall quality So underwhelming MCILIV 
0, FelizDomingo Cr u f nica MCC LFC Los REDS u b sacan un valioso empate de visitante en el City of Manchester ambos mantienen sus posiciones 
0, If you re booing Milner you need to reassess your life Quickly MCILIV 
0, Ironic cheers from the MCFC fans as the linesman eventually gives us something MCILIV 
-1, Yaya Toure slides in and catches Emre Can in the chest n n That has got to be a red card Savage n n MCILIV u 
1, Trading blows left right and centre MCILIV YNWA 
0, What a monumental miss Sterling must be working undercover MCILIV 
0, u a Finaliza el partido en Manchester 
3, Can again was boss in the middle Pep was smart to change Yaya Toure LFC not forgotten that sexy pass to Bob for the PK 
-1, God forbid sterling ever scores against lfc 
1, Proud see Hosting LFC Legend Souness amp ex player book launch u 
-1, ud c udfc U s lose on penalties PLCup n n t co KxYYE kkpR 
0, Live Stream ManchesterCity vs Liverpool n nAndroid ud d udcf HD n t co hXkFmJd n nPc ud d udcbbIOS ud d udcf u t co i Q fMLeq 
4, Great game Emre outstanding Anyone says different plays to much FIFA LFC decent point top 
0, ud d udd u ufe f n u b ufe f u bd ufe f ud d udd n MCILIV t co RsiD Zwkze 
-1, WHAT THE HECK is she putting inside n MCILIV n t co x nRKXhYfb 
0, Three quick things from Manchester City s draw with Liverpool MCILIV t co PeApnQaNtj 
0, La sortie de San u e est u e trange tant l allemand a fait des dif dans ce match MCILIV 
1, Solid start to the second half n nLallana pulls it back for Sadio
0, SECOND HALF City get us under way again cityvlfc mcfc n n ud d udd ud d udd t co VntTklwrT 
0, ud d udcf No shortage of excitement at the Etihad but it s Man City Liverpool u somehow mins MCILIV t co skmGU u 
-1, WHAT THE HECK is she putting inside n MCILIV n t co NzqUWHuxSc 
0, RT BoringMilner It s BoringMilner
0, Merci u e et de laisser une petite chance u e MCILIV 
0, u e u e b u e u e u e c u e u e u e u e u e u e u e u e u e u e u e u e u e u e t co krTcIjFzcp 
0, Go Reds u bd ud d udd 
0, LIVE MATCH Menit 
0, MANE will score goals in th second half Goodbye for the next hour 
0, Aguero empata o cl u e ssico na Inglaterra C u e mera vai pra torcida e camisa do aparece ManCity x Liverpool 
0, Not going to blame Lallana Should ve scored but he had a great game in midfield MCILIV 
0, Adoi tersiku telinga MCILIV 
1, Draw it is of the top dropped points
0, Ini kaga kalah aja
0, Oh no
-1, WHAT THE HECK is she putting inside n MCILIV n t co SqxeeHwQnr 
0, FT ud d udd ud d udd n nAn absorbing game at the Etihad as the points are shared cityvlfc mcfc t co S XFBiWETa 
0, Sends off for f ck all but this from Yaya Toure is ok Round of applause ud d udc f ud c udffc for Michael Oliver u 
-1, MCILIV Guardiola amp Klopp Funny Moment t co RV e rKMJ 
0, Frick we need the three points One is not gonna cut it MCILIV LFC t co GfGQ ala n 
-1, Everyone looks so tired Why 
0, L action de Liverpool ud d udd et Can qui rate le ballon a m des cages vide MCILIV 
2, Got to be Emre Can s best performance for LFC Thought he was immense today 
-1, MCILIV a draw is not so bad
-1, WHAT THE HECK is she putting inside n MCILIV n t co kb Ns uvm 
1, name someone like Dybala then 
-7, What a miss miss miss miss miss miss All misses MCILIV 
0, How s that not a pen MCILIV 
1, SkySports will now focus on Sterling missing a chance rather than look at all the exceptional stuff he s done in the st half MCILIV 
0, Confirmed LFC team to face Mignolet
1, th straight win at WHL
1, Origi to win this for us You heard it here first YNWA MCILIV 
0, How do Neville and Martin Tyler keep getting Liverpool games
2, GOOD LUCK u u t co pmUQPZb U 
1, She s Beautiful n MCILIV n t co hmPRzTvwgd 
0, Managers LFC MCILIV cityvlfc Klopp t co D qTmxy Yu 
0, James Milner now scored penalties out of for 
-1, Penalty for Liverpool LFC t co f ZiDlKG 
3, It was even in Lallana s strong foot He had time to take a touch Not good enough Gutted LFC 
-1, Five Manchester City players around Oliver after he finally gives penalty FA will presumably charge club for not contro u 
0, Def a pen MCFCvLFC lfc ynwa 
0, PL ud c uddec ud c udde MAN CITY LIVERPOOL n nTERMIN u c n n MCILIV t co xfIT npCRY 
1, Great frikkin game MCILIV 
0, A former red and a former blue go head to head u bd ufe f cityvlfc t co GoJB HHzdS 
-1, Shitttt n nIt s penalty n n ManCity 
-1, Get in Buzzing like a sticky whiskered bee here LFC 
0, MOTM was Emre Can LFC 
0, EL GOL DE JAMES MILNER MCILIV t co j o Chg pU 
0, ud d udcf No shortage of excitement at the Etihad but it s Man City Liverpool u somehow mins MCILIV t co skmGU u 
0, Coutinho
1, She s Beautiful n MCILIV n t co L EbkEyXl 
0, Paddypower New football MCFC LFC mufc Spurs n ManCity v Liverpool nSunday Claim gt u 
0, GOOOOOOAL MILNERRRR t co RfdB QSUwY 
1, Best game this season Masterclass in bottling chances MCILIV 
0,
1, Hope going right comeoncity mcfc MCILIV 
0,
0, GOOOOOOAL MILNERRRR t co RfdB QSUwY 
0, L occasion immanquable pour Lallana MCILIV 
0, Sergio Aguero saves point for Man City against Liverpool t co qWBMsv vFK LFC Liverpool 
1, Happy birthday Kolo ud c udf t co AKg FNvYu 
0, Milner MCILIV 
1, MCILIV BONUS POINTS AS IT STANDS n n u Toure n u Clichy n u Coutinho
0, Tu fais tirer un p u e no u e Sadio Man u e il a le temps d aller l arr u eater lui m u eame MCILIV 
0, u u u d u a u e u u u u ud d ude t co do tgI IeQ 
1, Liverpool seem to be rocking a nice puff sleeve MCILIV 
-1, Your support is absolutely fucking shit 
