text,Manual Calssification,Classification,Correct or Incorrect
 arsenal fans dey laugh us say we dey europa league,neutral,negative,incorrect
 arsenal facing th defeat in premier league games nonly games won in the last month both against th tier teams ,neutral,negative,incorrect
 arsenal fan by any chance xd t co e hg l bxk ,neutral,positive,incorrect
 awful,negative,negative,correct
 arsenal are a mess ud d ude ,negative,negative,correct
 even bigger twat t co v jnhagcur ,negative,positive,incorrect
 arsenal should have had a penalty there,negative,negative,correct
 ud e udd t co izi uzyoqv ,neutral,positive,incorrect
 arsenal fans he s won more than you,positive,positive,correct
 mins west brom arsenal t co z nyx ojo ,neutral,positive,incorrect
 ft west brom arsenal now we wait,neutral,positive,incorrect
 arsenal ha perdido de sus u faltimos partidos por premier algo in u e dito desde que ars u e ne wenger es el dt ,neutral,positive,incorrect
 maybe arsenal is just enugu rangers that is across the atlantic ,neutral,positive,incorrect
 and so the embarrassment continues arsenal ,negative,negative,correct
 lol arsenal hahahahaha ,negative,positive,incorrect
 if liverpool win tomorrow they will go points clear of arsenal in th place lfc ,neutral,positive,incorrect
 goal west brom arsenal n nsub robson kanu stabs the hosts into the lead a minute after coming on u ,neutral,positive,incorrect
 arsenal have won just two games in the past month against sutton and lincoln ,neutral,positive,incorrect
 arsenal mah suka gitu ahh ,neutral,positive,incorrect
 arsenal tv is gonna be scenes ud d ude ud d ude ud d ude ud d ude ,neutral,positive,incorrect
 wenger out thats it n savearsenal ,negative,positive,incorrect
 the date is june narsenal finished th behind tottenham nand lost fa cup semi final to city nwenger signs new u ,negative,negative,correct
 should wenger stay,negative,positive,incorrect
 kanu s chance saved by ospina after the striker came one on one wbaars theplshow ,neutral,positive,incorrect
 lailai our case is different tomorrow n nwe are winners t co rgbcaved q ,positive,positive,correct
 west bromwich albion vs arsenal saat half time t co ikbft rpi t co yuna xv jr ,neutral,positive,incorrect
 do arsenal fans think the owners are going to change policy when wenger is sacked all they ll get is more of the same with a new manager ,neutral,neutral,correct
 arsenal fans have reached new heights on the embarrassing scale two planes with contradictory messages flying in q u ,negative,negative,correct
 goal west brom arsenal ud d ude t co f btelbc s ,neutral,positive,incorrect
 if you are near an arsenal fan,neutral,positive,incorrect
 looooooooool why do i support this team t co amfnf zgei ,negative,positive,incorrect
 we will not allow you sack wenger n nwe will not take it he is a philanthropist ,positive,positive,correct
 entrei no twitter,neutral,positive,incorrect
 arsenal missing two of their world class midfielders need some upgrades in the back the team is hardly in free fall ,neutral,neutral,correct
 arsenal s th defeat in premier league games n ni say wengerin t co j uqq trw ,neutral,neutral,correct
 qual o jogo do arsenal ,neutral,positive,incorrect
 west brom increase pressure on arsenal with comfortable win t co byuvk uexl t co ehg kcyhpo ,positive,positive,correct
 n u e o tem como voc u ea ser eliminado nas oitavas se voc u ea n u e o participar da competi u e u e o t co cpxidasqo ,neutral,positive,incorrect
 this eurpa una dey laugh since ,neutral,negative,incorrect
 arsenal are losing to west brom ya know whats comin next in news dont ya,negative,neutral,incorrect
 sanchez does everything for arsenal only for them to lose ,negative,negative,correct
 watching arsenal vs west brom ,neutral,positive,incorrect
 top flight officiating man t co duvkcvzcop ,neutral,negative,incorrect
 ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ,neutral,positive,incorrect
 i wonder how is still stuck at th after so many pathetic performances but not for long now th is coming soon wbaars ,negative,negative,correct
 waiting for arsenal fan tv t co nupmpmltkd ,neutral,positive,incorrect
 arsenal fans are like no other we ve taken our civil war to the fucking sky man ,negative,neutral,incorrect
 in arsene we trust t co mnledllgst ,positive,positive,correct
 game the legend of zelda breath of the wild n wbaars n n t co wwqmjwzg ,neutral,negative,incorrect
 won t mention arsenal result and being battered at wba until after our game,negative,negative,correct
 robbie when the arsenal fan tv check s clear t co yqw uiqebs ,neutral,positive,incorrect
 i kinda,positive,positive,correct
 t co pxfea vcta ,neutral,positive,incorrect
 u a gooooooooooooooooooool del west bromwich robson kanu ,neutral,positive,incorrect
 um,neutral,positive,incorrect
 the arsenal way ,neutral,negative,incorrect
 that moment when you re ready to watch arsenal fan tv ud d udc ud c udf f t co zvegrjaijc ,neutral,neutral,correct
 uff el arsenal otra vez ,neutral,positive,incorrect
 today s first time it feels like arsenal are back in mid s rudderless and directionless endgame for wenger surel u ,negative,positive,incorrect
 we will not allow you sack wenger n nwe will not take it he is a philanthropist ,positive,positive,correct
 ud d udcf back on track and onto points n ncome on you baggies n n wbaars wba t co p dix ac ,neutral,positive,incorrect
 arsenal ud e udd ,neutral,positive,incorrect
 ape jadi ngan arsenal nih ozil x dekkk x mainnn ,neutral,negative,incorrect
 well,positive,positive,correct
 any reason why our best players weren t on the pitch in the first place arsenal wengerout ramseyout kronkeout ,negative,positive,incorrect
 liverpool try their hardest to be the banter club but arsenal are usually like u hold my beer u ,neutral,neutral,correct
 felicitaciones,neutral,positive,incorrect
 arsenal looooooool ,negative,positive,incorrect
 arsenal fans planning to do this in the next game t co spahr cxii ,negative,negative,correct
 arsenal have lost three away league matches in a row for the first time since august october wbaars t co h v u ,negative,negative,correct
 we will not allow you sack wenger n nwe will not take it he is a philanthropist ,positive,positive,correct
 in ,neutral,positive,incorrect
 all for arsenal fan tv ,neutral,positive,incorrect
 deaddddddd west brom is using arsenal to test run teenagers ,positive,positive,correct
 totally need to absolutely batter the arsenal twitter account club have to get the message ,negative,negative,correct
 a manchester united win can move them from th tomorrow,neutral,positive,incorrect
 life is too short for me to be stressing about arsenal like this ,negative,positive,incorrect
 t co xekxrbe ze ,neutral,positive,incorrect
 ud d ude f t co s waoiwqcm ,neutral,positive,incorrect
 arsenal soooo poor ud d ude ,negative,negative,correct
 arsenal fans have been screaming th from th place loool ,negative,positive,incorrect
 udah gak ada mental lagi ini gua rasa wengerout ,neutral,positive,incorrect
 on me souffle dans l oreillette que pdnt que je m amuse au salon du fitness,neutral,positive,incorrect
 what have we become ud d ude arsenal it s a sad day when we get beat by west brom no one fears arsenal anymore wengerout ,negative,negative,correct
 then make your voice heard amp demand change t co zi pacg l ,negative,positive,incorrect
 t co nxmlb vw v ,neutral,positive,incorrect
 tumben banget update soal bola ud d ude c ud d ude c t co kb e aw y ,neutral,positive,incorrect
 all because you want united to remain in the th position smh t co ntv mmsmv ,neutral,positive,incorrect
 u u a u u u u a u u u u u u u u u a u u u u u u u c u u u b u ,neutral,positive,incorrect
 do the honorable thing arsene and ,positive,positive,correct
 this one wants to occupy arsenal ud d ude d ud d ude d ud d ude e t co xvndww coe ,neutral,positive,incorrect
 most damning aspect of this is arsenal can t even remotely feel hard done by technically,negative,negative,correct
 this is getting plane ridiculous t co uiywngtuo ,negative,negative,correct
 we really are embarrassing,negative,negative,correct
 hahahahhahahah arsenal hahahahhahaha ,negative,positive,incorrect
 arsenal ,neutral,positive,incorrect
 two craig dawson headers seal an impressive home win for tony pulis s men wbaars t co nojdcgzua ,positive,positive,correct
 have arsenal stopped saying it s up to arsene to decide when he goes hope so it s not usually up to the employee to decide these things ,negative,positive,incorrect
 plisss bilang lah wenger saya tdk melatih arsenal lagi di musim depan ,neutral,positive,incorrect
 that s it arsenal fall to ,negative,negative,correct
